ray1,ray2,ray3,ray4,ray5,kartx,karty,kartz,time,action
-1,6.521043,4.61109,6.489725,4.588912,15.98893,0.2756149,3.105009,0.3733333,NONE
-1,6.52091,4.611073,6.489857,4.588929,15.98893,0.2757093,3.105008,0.4292294,NONE
-1,6.520908,4.611071,6.489859,4.588931,15.98893,0.2757232,3.105008,0.447533,NONE
-1,6.520905,4.611069,6.489862,4.588933,15.98893,0.2757326,3.105008,0.4656155,NONE
-1,6.520902,4.611067,6.489865,4.588934,15.98893,0.2757442,3.105008,0.5172799,NONE
-1,6.520896,4.611063,6.48987,4.588938,15.98894,0.2757459,3.10501,0.6017666,NONE
-1,6.520889,4.611057,6.489878,4.588944,15.98894,0.2757441,3.10501,0.7143378,NONE
-1,6.520883,4.611053,6.489885,4.588949,15.98895,0.2757438,3.105013,0.8067623,NONE
-1,6.520876,4.611048,6.489892,4.588953,15.98895,0.2757441,3.10502,0.9047573,ACCELERATE
-1,6.520871,4.611044,6.489897,4.588957,15.98896,0.2757442,3.105033,1.004062,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757438,3.105044,1.106302,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757441,3.105058,1.203766,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757437,3.105071,1.300773,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757442,3.105086,1.404554,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757437,3.105099,1.501214,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.275744,3.105114,1.606873,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757439,3.105124,1.703398,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757438,3.105138,1.804971,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757436,3.10515,1.907961,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757441,3.105164,2.005895,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757437,3.105175,2.103816,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757438,3.105185,2.20054,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.275744,3.105198,2.303689,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757443,3.105212,2.408788,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.275744,3.105225,2.502153,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757441,3.105237,2.60841,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757441,3.10525,2.706817,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757439,3.105263,2.803894,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757436,3.105274,2.906252,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757441,3.105288,3.002054,ACCELERATE
-1,6.520886,4.611039,6.489881,4.588962,15.98896,0.2757268,3.143234,3.10124,ACCELERATE
-1,6.520946,4.61103,6.489821,4.588972,15.98897,0.2757049,3.342028,3.208418,ACCELERATE
-1,6.521013,4.611023,6.489755,4.588978,15.98898,0.2756981,3.650717,3.303043,ACCELERATE
-1,6.521185,4.611028,6.489583,4.588974,15.98897,0.284536,4.11268,3.405185,ACCELERATE
-1,6.521391,4.611063,6.489378,4.588938,15.98893,0.2788625,4.693657,3.506438,ACCELERATE
-1,6.521529,4.611132,6.48924,4.58887,15.98886,0.2795754,5.400068,3.608133,ACCELERATE
-1,6.521676,4.611191,6.489094,4.58881,15.9888,0.2787611,6.142183,3.700962,ACCELERATE
-1,6.521871,4.611265,6.488899,4.588736,15.98873,0.2793572,7.056198,3.803031,ACCELERATE
-1,6.522071,4.611347,6.488701,4.588654,15.98865,0.2791052,8.065826,3.905382,ACCELERATE
-1,6.522306,4.611441,6.488466,4.588561,15.98855,0.2792104,9.109492,4.003361,ACCELERATE
-1,6.522567,4.611554,6.488206,4.588447,15.98843,0.279136,10.22858,4.102005,ACCELERATE
-1,6.522864,4.611691,6.48791,4.588311,15.9883,0.2791794,11.40497,4.200386,ACCELERATE
-1,6.523216,4.61186,6.487558,4.588141,15.98812,0.2791587,12.74818,4.307638,ACCELERATE
-1,6.523591,4.612048,6.487185,4.587953,15.98793,0.27916,14.10652,4.411913,ACCELERATE
-1,6.523966,4.612243,6.486809,4.587759,15.98773,0.2791587,15.36004,4.505203,ACCELERATE
-1,6.524405,4.612476,6.486371,4.587525,15.9875,0.2791605,16.68554,4.601396,ACCELERATE
-1,6.524903,4.612748,6.485874,4.587253,15.98723,0.2791587,18.15128,4.705376,ACCELERATE
-1,6.525402,4.613026,6.485376,4.586976,15.98695,0.279159,19.54918,4.802659,ACCELERATE
-1,6.525955,4.61334,6.484824,4.586662,15.98663,0.2791581,20.9967,4.901802,ACCELERATE
-1,6.526546,4.61368,6.484233,4.586322,15.98629,0.2791581,22.47206,5.001478,ACCELERATE
-1,6.527183,4.614052,6.483597,4.585949,15.98592,0.2791584,23.9653,5.101737,ACCELERATE
-1,6.527843,4.614443,6.48294,4.585558,15.98552,0.2791609,25.44662,5.201187,ACCELERATE
-1,6.528548,4.614865,6.482236,4.585136,15.9851,0.279159,26.94791,5.301975,ACCELERATE
-1,6.529268,4.615301,6.481518,4.584702,15.98466,0.2791607,28.42121,5.400885,ACCELERATE
-1,6.53004,4.615771,6.480747,4.584231,15.98419,0.2791596,29.9272,5.501989,ACCELERATE
-1,6.530842,4.616263,6.479945,4.583739,15.9837,0.2791602,31.41974,5.602191,ACCELERATE
-1,6.519751,4.616778,6.490333,4.583224,15.98317,0.2791597,32.93348,5.703815,ACCELERATE
-1,6.446281,4.617313,6.605381,4.582689,15.98264,0.2791599,34.39724,5.802084,ACCELERATE
-1,6.28002,4.617889,6.955041,4.582113,15.98204,0.2791599,35.97791,5.908202,ACCELERATE
-1,6.125073,4.62358,7.409694,4.574468,15.96553,0.2791599,37.40456,6.004006,LEFT_ACCELERATE
-1,6.252158,4.680483,7.189248,4.521258,15.83285,0.2791718,38.94501,6.107978,LEFT_ACCELERATE
-1,6.65,4.836243,6.48895,4.386365,15.53549,0.2791812,40.32993,6.203303,LEFT_ACCELERATE
-1,6.890051,5.045918,6.16485,4.174205,15.07809,0.2791733,41.7828,6.305658,LEFT_ACCELERATE
-1,6.755691,5.17263,6.57104,4.030159,14.62849,0.2791646,43.13203,6.401152,ACCELERATE
-1,6.440406,5.193414,8.02601,4.022623,14.18148,0.2791616,44.54058,6.50037,ACCELERATE
-1,6.003829,5.093576,-1,4.186796,13.69946,0.2791604,46.09313,6.609514,LEFT_ACCELERATE
-1,5.750597,4.94808,-1,4.367634,13.2357,0.2791637,47.37358,6.701031,LEFT_ACCELERATE
-1,5.682651,4.791323,-1,4.480816,12.56056,0.2791871,48.73375,6.803235,LEFT_ACCELERATE
-1,5.918604,4.752674,-1,4.455009,11.62823,0.279211,50.00378,6.909468,LEFT_ACCELERATE
-1,6.410056,4.88309,7.269559,4.317891,10.62907,0.2792178,50.93142,7.00146,LEFT_ACCELERATE
-1,7.246391,5.211469,5.672414,4.063036,9.357036,0.2792196,51.73231,7.103046,LEFT_ACCELERATE
-1,8.350675,5.730833,4.518054,3.676353,7.938444,0.2792096,52.29174,7.20616,LEFT_ACCELERATE
-1,8.32431,6.309201,3.694869,3.165119,6.469958,0.2791913,52.64555,7.308023,LEFT_ACCELERATE
-1,7.128944,6.352785,3.160902,2.672623,5.072267,0.2791745,52.88964,7.403337,LEFT_ACCELERATE
-1,7.06669,6.275836,2.849585,2.204854,3.588843,0.2791685,53.16322,7.504664,RIGHT_ACCELERATE
-1,8.281219,7.186349,3.069942,2.033703,2.176685,0.2791754,53.53428,7.602846,RIGHT_ACCELERATE
-1,8.161341,7.109174,4.279923,2.205783,0.7140739,0.2791768,54.10527,7.708465,RIGHT_ACCELERATE
-1,7.410316,6.860785,6.356001,2.644573,-0.6006044,0.2791664,54.71492,7.805787,ACCELERATE
-1,6.794128,6.509106,8.044559,3.166821,-1.886052,0.2791625,55.31213,7.900948,ACCELERATE
-1,6.084833,6.027052,9.903706,3.8648,-3.330591,0.2791603,55.97433,8.007632,LEFT_ACCELERATE
-1,5.558336,5.490342,-1,4.417199,-4.623854,0.2791607,56.52419,8.102028,LEFT_ACCELERATE
-1,5.214971,4.879961,-1,4.81321,-6.083239,0.279169,56.99923,8.205215,LEFT_ACCELERATE
-1,4.843523,4.428985,-1,5.186606,-7.574843,0.279164,57.39698,8.308874,ACCELERATE
-1,4.429046,4.042148,-1,5.567329,-8.93155,0.2791624,57.76313,8.403218,LEFT_ACCELERATE
-1,4.143206,3.642515,-1,-1,-10.35026,0.2791617,58.09944,8.501164,LEFT_ACCELERATE
-1,4.035724,3.356886,-1,-1,-11.86717,0.2791675,58.33475,8.604301,LEFT_ACCELERATE
-1,3.07494,2.387429,-1,-1,-13.38992,0.279173,58.45561,8.707003,LEFT_ACCELERATE
-1,0.7740574,0.5599597,-1,-1,-14.77688,0.2791788,58.4236,8.800301,LEFT_ACCELERATE
-1,3.75328,2.981185,-1,-1,-16.30901,0.2791917,58.18879,8.904648,LEFT_ACCELERATE
-1,6.021984,5.162123,6.935839,3.863262,-17.72981,0.2791795,57.80645,9.003561,LEFT_ACCELERATE
-1,5.88518,5.167955,7.971084,4.337498,-19.18403,0.2791685,57.36556,9.105607,ACCELERATE
-1,5.517101,4.761914,8.19031,4.707042,-20.56033,0.2791653,56.99593,9.201344,RIGHT_ACCELERATE
-1,4.131801,3.320093,-1,-1,-22.1161,0.2791802,56.73306,9.307488,RIGHT_ACCELERATE
-1,2.024512,1.521059,-1,-1,-23.5602,0.2791751,56.65345,9.404738,RIGHT_ACCELERATE
-1,1.438736,1.061434,-1,-1,-24.98898,0.2791659,56.63406,9.500689,ACCELERATE
-1,1.618153,1.200148,-1,-1,-26.58568,0.2791612,56.59646,9.607927,LEFT_ACCELERATE
-1,3.038796,2.355505,-1,-1,-28.06901,0.2791624,56.47925,9.707905,LEFT_ACCELERATE
-1,4.009376,3.206242,-1,-1,-29.48799,0.2791649,56.29504,9.804012,LEFT_ACCELERATE
-1,5.911402,4.637151,5.65932,-1,-30.99161,0.2791687,55.97593,9.907336,LEFT_ACCELERATE
-1,6.551844,4.775207,5.374493,4.553725,-32.37805,0.2791637,55.61228,10.00358,ACCELERATE
9.84371,6.588365,5.109389,4.898505,4.366019,-33.85137,0.2791618,55.23464,10.10569,LEFT_ACCELERATE
8.895253,7.478324,5.491581,4.478208,4.080807,-35.2415,0.2791606,54.84211,10.20271,LEFT_ACCELERATE
8.161764,8.848905,5.891419,4.064411,3.736717,-36.68075,0.279168,54.33071,10.30536,LEFT_ACCELERATE
8.111343,-1,6.110185,3.808442,3.410192,-38.04592,0.2791898,53.65418,10.40792,LEFT_ACCELERATE
8.866852,-1,6.13202,3.790271,3.217453,-39.1805,0.2792108,52.8406,10.50202,LEFT_ACCELERATE
-1,-1,6.036107,4.040875,3.182704,-40.2174,0.2792184,51.74993,10.60359,LEFT_ACCELERATE
-1,-1,5.850266,4.597777,3.356072,-41.03897,0.2792187,50.45057,10.70751,LEFT_ACCELERATE
-1,8.195968,5.603747,5.315465,3.680087,-41.59357,0.2792057,49.09225,10.80665,LEFT_ACCELERATE
-1,7.151161,5.261326,5.992562,4.065331,-41.9652,0.2791871,47.74264,10.90094,LEFT_ACCELERATE
-1,6.697022,4.832497,6.404028,4.451719,-42.30925,0.2791727,46.19583,11.00738,LEFT_ACCELERATE
-1,6.930809,4.55632,6.342618,4.656171,-42.64642,0.2791643,44.77943,11.10516,ACCELERATE
-1,7.568137,4.454949,6.137476,4.742591,-43.01657,0.2791622,43.36128,11.20357,ACCELERATE
-1,8.415105,4.510585,5.828118,4.724719,-43.41798,0.2791604,41.90453,11.30502,ACCELERATE
-1,9.277744,4.705445,5.443496,4.603412,-43.82792,0.279161,40.46466,11.40553,LEFT_ACCELERATE
-1,9.617251,4.97298,5.087687,4.38594,-44.22073,0.2791604,38.99618,11.50762,LEFT_ACCELERATE
-1,9.043653,5.149173,4.999433,4.184837,-44.47258,0.2791676,37.62958,11.60104,LEFT_ACCELERATE
-1,8.162316,5.214108,5.195589,4.028716,-44.59357,0.2791831,36.12944,11.70229,LEFT_ACCELERATE
-1,7.192444,5.138688,5.804602,4.06181,-44.52576,0.2791858,34.6424,11.80244,LEFT_ACCELERATE
-1,6.160032,4.950961,7.100071,4.334523,-44.27605,0.2791983,33.19028,11.90164,LEFT_ACCELERATE
-1,5.146765,4.607197,9.46462,4.912608,-43.80782,0.2791901,31.73635,12.00444,LEFT_ACCELERATE
-1,4.351569,4.101597,-1,5.595014,-43.23912,0.2791721,30.33996,12.10574,RIGHT_ACCELERATE
-1,3.854101,3.522761,-1,6.063065,-42.74216,0.2791714,28.94753,12.20513,RIGHT_ACCELERATE
-1,3.645325,3.089782,-1,6.290057,-42.40862,0.2791869,27.53573,12.30275,RIGHT_ACCELERATE
-1,3.868186,2.89895,9.503184,6.317519,-42.2937,0.279208,26.06506,12.40216,RIGHT_ACCELERATE
-1,4.850341,3.055938,7.904606,6.198535,-42.46234,0.2792115,24.5648,12.50397,RIGHT_ACCELERATE
-1,6.567812,3.51879,6.770398,5.947458,-42.86246,0.2791966,23.14282,12.60346,RIGHT_ACCELERATE
-1,8.7437,4.151506,5.889065,5.532269,-43.39386,0.279181,21.78707,12.70134,RIGHT_ACCELERATE
-1,-1,4.766924,5.221969,4.960083,-43.97905,0.2791647,20.361,12.80487,LEFT_ACCELERATE
-1,-1,5.235287,4.760002,4.349747,-44.46246,0.2791631,18.91663,12.90724,LEFT_ACCELERATE
-1,-1,5.638557,4.323415,3.924955,-44.88443,0.2791602,17.48402,13.00751,ACCELERATE
-1,-1,6.045799,3.874894,3.517074,-45.27393,0.2791603,16.14382,13.10121,ACCELERATE
-1,-1,6.498414,3.376218,3.064226,-45.68612,0.2791593,14.71391,13.20112,LEFT_ACCELERATE
-1,-1,6.84476,2.984598,2.631196,-46.07397,0.2791616,13.21596,13.30506,LEFT_ACCELERATE
-1,-1,6.968612,2.865132,2.344218,-46.29763,0.2791757,11.82234,13.4,LEFT_ACCELERATE
-1,9.939396,6.925086,3.172072,2.275905,-46.31564,0.2792022,10.29458,13.50294,LEFT_ACCELERATE
-1,8.175434,6.76177,4.376755,2.569721,-46.02576,0.2792149,8.739446,13.60967,LEFT_ACCELERATE
-1,6.934007,6.501292,6.661777,3.175123,-45.52552,0.2792045,7.425866,13.70446,LEFT_ACCELERATE
-1,5.921971,6.051932,-1,4.0188,-44.86508,0.2791735,6.165971,13.80015,RIGHT_ACCELERATE
-1,5.215615,5.255479,-1,4.741008,-44.1865,0.2791719,4.809509,13.90211,RIGHT_ACCELERATE
-1,4.742651,4.526431,-1,5.220003,-43.63205,0.2791691,3.359357,14.00649,RIGHT_ACCELERATE
-1,4.238944,4.001488,-1,5.701004,-43.15748,0.2791635,1.937521,14.10714,ACCELERATE
-1,3.715574,3.507055,-1,6.195011,-42.68496,0.2791608,0.5184698,14.20755,ACCELERATE
9.563645,3.258725,3.035685,-1,6.616668,-42.25752,0.2791612,-0.809994,14.30126,RIGHT_ACCELERATE
-1,2.950005,2.590444,-1,6.874778,-41.89384,0.2791682,-2.285746,14.40344,RIGHT_ACCELERATE
-1,2.758723,2.301249,-1,7.04611,-41.64944,0.2791734,-3.77699,14.50497,RIGHT_ACCELERATE
-1,2.846287,2.162077,-1,7.063253,-41.55733,0.2791873,-5.314863,14.60863,RIGHT_ACCELERATE
-1,3.216594,2.228806,9.667274,6.973049,-41.64025,0.2791841,-6.700831,14.70202,RIGHT_ACCELERATE
-1,3.636634,2.403484,9.048309,6.816131,-41.81376,0.2791689,-8.198785,14.80329,RIGHT_ACCELERATE
-1,3.895403,2.569457,8.814293,6.651273,-41.97635,0.2791619,-9.703502,14.90491,ACCELERATE
-1,4.097034,2.703595,8.639397,6.516893,-42.10914,0.2791596,-11.12849,15.001,ACCELERATE
-1,4.29372,2.83431,8.468279,6.385993,-42.23645,0.2791604,-12.64811,15.10338,ACCELERATE
-1,4.331106,2.925423,8.505772,6.283796,-42.32735,0.2791606,-14.09445,15.20071,LEFT_ACCELERATE
-1,4.113498,2.925534,8.925368,6.274621,-42.32243,0.2791627,-15.58661,15.30095,LEFT_ACCELERATE
-1,4.031493,2.88765,9.034925,6.313124,-42.28439,0.2791617,-17.06661,15.40035,ACCELERATE
-1,3.983402,2.853161,8.996781,6.34761,-42.25035,0.2791604,-18.65894,15.50728,ACCELERATE
-1,3.945189,2.825607,8.862122,6.375157,-42.22301,0.2791606,-20.14139,15.60682,ACCELERATE
-1,3.963531,2.801289,8.64491,6.399471,-42.19893,0.2791603,-21.59362,15.70433,ACCELERATE
-1,4.131294,2.778731,8.360635,6.422145,-42.17623,0.2791601,-23.02461,15.80041,LEFT_ACCELERATE
-1,4.234013,2.757027,8.240474,6.440981,-42.09882,0.2791618,-24.58976,15.90569,LEFT_ACCELERATE
-1,3.945097,2.676545,8.482924,6.528146,-41.85807,0.2791821,-26.09677,16.00838,LEFT_ACCELERATE
-1,3.537012,2.511261,8.841261,6.705551,-41.45267,0.2791808,-27.46,16.10408,LEFT_ACCELERATE
-1,3.344865,2.316284,8.88354,6.887907,-40.91945,0.2791716,-28.86669,16.20514,LEFT_ACCELERATE
-1,3.615463,2.235917,8.541945,6.963173,-40.38914,0.2791642,-30.25668,16.30503,ACCELERATE
-1,4.467465,2.322126,8.074226,6.928051,-39.88502,0.2791614,-31.63838,16.40378,ACCELERATE
-1,-1,2.585195,7.514064,6.784858,-39.37942,0.2791609,-33.06294,16.50527,LEFT_ACCELERATE
-1,-1,2.932687,7.05114,6.540297,-38.87128,0.279162,-34.40067,16.60138,LEFT_ACCELERATE
-1,-1,3.295216,6.681693,6.194928,-38.19373,0.2791774,-35.7756,16.7045,LEFT_ACCELERATE
-1,-1,3.5165,6.549092,5.870703,-37.31641,0.2792043,-37.025,16.80737,LEFT_ACCELERATE
-1,8.78045,3.55942,6.695624,5.709533,-36.2459,0.2792108,-38.06259,16.90793,LEFT_ACCELERATE
-1,7.084833,3.532069,6.877943,5.697215,-35.04302,0.279196,-38.90365,17.0068,LEFT_ACCELERATE
-1,6.197663,3.461631,7.11695,5.751765,-33.7289,0.2792003,-39.59523,17.10678,LEFT_ACCELERATE
-1,5.049424,3.290359,7.709979,5.922127,-32.32182,0.2792095,-40.06877,17.20684,LEFT_ACCELERATE
-1,4.32991,3.061113,7.084183,6.199563,-30.95594,0.2791923,-40.32023,17.30034,LEFT_ACCELERATE
